id,gender,star_sign,phone_os,height,weight,sleepiness,iq,fb_friends,yt,bmi
1.0,2,7.0,0.0,154.0,43.0,2.0,180.0,583.0,0.0,18.13121942992073
2.0,2,7.0,0.0,156.0,47.0,2.0,130.0,400.0,3.5,19.312952005259696
3.0,1,10.0,1.0,170.0,61.0,3.0,90.0,540.0,5.0,21.107266435986162
4.0,1,10.0,0.0,170.0,62.0,4.0,100.0,173.0,5.0,21.453287197231838
5.0,2,10.0,1.0,158.0,50.948494380983234,3.0,124.75170845301017,613.5703421457919,1.2,20.408786404816226
6.0,2,11.0,1.0,158.0,50.0,3.0,100.0,903.0,2.0,20.028841531805796
7.0,1,8.0,1.0,165.0,50.0,4.0,115.0,209.0,9.59,18.36547291092746
8.0,2,4.0,1.0,170.0,57.0,4.0,100.0,1200.0,62.51660278814191,19.723183391003463
9.0,2,5.665165718744536,1.0,159.29020277046857,52.0,2.0,100.0,613.5558328320075,5.34,20.493928345727443
10.0,2,2.0,0.0,165.0,55.0,5.0,130.0,542.0,2.0,20.202020202020204
11.0,2,8.0,1.0,164.0,52.0,3.0,180.0,300.0,1.0,19.333729922665082
12.0,2,7.0,1.0,168.0,55.0,2.0,180.0,300.0,0.87,19.48696145124717
13.0,2,1.0,0.0,161.78364369961315,57.41104001979939,3.0,200.0,613.5737162844033,62.66122117514043,21.934421740452816
14.0,1,0.0,1.0,168.0,53.0,3.186302949901253,100.0,300.0,2.5,18.77834467120182
15.0,2,4.0,0.0,159.85411149468132,52.0,3.185338656084215,98.0,1200.0,2.0,20.34959272748958
16.0,2,7.0,0.0,154.0,43.0,2.0,180.0,583.0,0.0,18.13121942992073
17.0,2,7.0,0.0,156.0,47.0,2.0,130.0,400.0,3.5,19.312952005259696
18.0,1,10.0,1.0,170.0,61.0,3.0,90.0,540.0,5.0,21.107266435986162
19.0,1,10.0,0.0,170.0,62.0,4.0,100.0,173.0,5.0,21.453287197231838
20.0,2,10.0,1.0,158.0,67.0,3.0,128.0,320.0,1.2,26.83864765261977
21.0,2,5.719232952696086,1.0,158.0,50.0,3.0,125.82026857881732,903.0,2.0,20.028841531805796
22.0,1,5.666814188488173,0.0,168.67888065679605,50.0,4.0,115.0,613.5320580216373,62.66453373269282,17.573108219683956
23.0,2,4.0,1.0,170.0,57.0,4.0,100.0,1200.0,62.51635218402405,19.723183391003463
24.0,2,10.0,1.0,168.0,52.0,2.0,124.60410911132986,580.0,5.34,18.42403628117914
25.0,2,2.0,0.0,165.0,55.0,5.0,130.0,542.0,2.0,20.202020202020204
26.0,2,8.0,1.0,164.0,52.0,3.0,180.0,300.0,1.0,19.333729922665082
27.0,2,7.0,1.0,168.0,55.0,2.0,180.0,300.0,0.87,19.48696145124717
28.0,2,5.564958649016232,0.0,163.0,60.0,3.0,122.90067997600168,160.0,62.77952979818712,22.582709172343712
29.0,1,0.0,1.0,168.0,53.0,3.2075420048419923,124.73272037168375,613.5666554550832,2.5,18.77834467120182
30.0,2,4.0,0.0,163.0,52.0,5.0,98.0,1200.0,2.0,19.57168128269788
31.0,1,3.0,1.0,175.0,75.0,5.0,50.0,200.0,1.0,24.489795918367346
32.0,1,10.0,1.0,169.0,75.0,1.0,90.0,0.0,41.0,26.25958474843318
33.0,1,5.654006825373611,1.0,175.24492106119334,75.0,3.19464373139944,90.0,613.531140581623,41.0,24.421390222606412
34.0,1,11.0,1.0,180.0,60.0,3.0,120.0,404.0,0.37,18.51851851851852
35.0,1,11.0,0.0,170.0,55.0,1.0,199.0,611.0,62.66168078244279,19.031141868512112
36.0,1,11.0,0.0,162.0,43.0,5.0,180.0,6666.0,87.0,16.384697454656298
37.0,1,5.656281141628912,0.4786211098674902,169.42550158590498,62.33244699114356,3.194761661426598,124.58889678515878,613.5349233228302,62.66431004928175,21.714839127365455
38.0,1,3.0,1.0,175.0,75.0,5.0,87.0,9487.0,87.0,24.489795918367346
